step	loss
0	2.9254086017608643
1	2.146336555480957
2	1.2047266960144043
3	1.3244216442108154
4	0.8497270941734314
5	0.6568992733955383
6	0.6115214824676514
7	0.560449481010437
8	0.4902782738208771
9	0.5864648222923279
10	0.41593682765960693
11	0.45864662528038025
12	0.381289541721344
13	0.4082925021648407
14	0.2905062735080719
15	0.4433005452156067
16	0.3000626862049103
17	0.2854459583759308
18	0.3272475004196167
19	0.2370203286409378
20	0.5729661583900452
21	0.4588674306869507
22	0.4147440493106842
23	0.3930808901786804
24	0.5531899333000183
25	0.3405660092830658
26	0.373506098985672
27	0.2689439058303833
28	0.4681268334388733
29	0.2215484231710434
